id,date,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,call,circumplex.arousal,circumplex.valence,mood,screen,sms
AS14.01,2014-02-26,,,,,,,,,,,,,,1.0,-0.25,0.75,6.25,,1.0
AS14.01,2014-02-27,,,,,,,,,,,,,,,0.0,0.3333333333333333,6.333333333333333,,
AS14.01,2014-03-21,0.13405010398938863,3139.218,6280.889999999999,1007.4560000000001,49.544,,172.20600000000002,239.751,4508.500000000001,915.4450000000002,,598.754,,1.0,0.2,0.2,6.2,17978.907000064843,
AS14.01,2014-03-22,0.23688021923995814,731.4290000000002,4962.918,93.324,21.076,,,98.14300000000001,439.6319999999999,37.305,,117.62100000000001,,1.0,0.6,0.5,6.4,6142.160999536513,1.0
AS14.01,2014-03-23,0.14274111580506368,1286.2459999999999,5237.319,94.346,43.403000000000006,,,72.82300000000001,900.8389999999999,,,30.086,30.386,,0.2,0.8,6.8,6773.832001447676,
AS14.01,2014-03-24,0.07896105611559796,866.9559999999999,9270.629,976.971,34.106,,3.01,66.55799999999999,3223.6259999999997,419.805,,178.732,,1.0,0.8,0.0,6.0,15047.351000547405,
AS14.01,2014-03-25,0.0983741123905068,1032.768,10276.751,68.206,43.053999999999995,,,178.819,1919.471,,235.223,222.893,,,0.5,0.5,6.75,21475.35499906539,1.0
AS14.01,2014-03-26,0.10130832167007592,1167.497,8988.752999999999,910.479,52.331,,,97.49799999999999,4592.059,,,33.365,,,-0.2,0.6,6.6,16423.80100035667,
AS14.01,2014-03-27,0.15951064096909748,1229.327,6936.512,639.3389999999999,42.218999999999994,,182.45100000000002,58.532000000000004,935.381,47.314,,179.02899999999997,,1.0,0.2,0.8,7.0,17442.14999938011,1.0
AS14.01,2014-03-28,0.09569802163712014,10062.595,866.8330000000001,1005.403,89.16600000000001,233.036,,225.951,512.741,1133.0089999999998,,301.717,,1.0,-0.6,0.6,6.4,4923.488999605181,
AS14.01,2014-03-29,0.06820281010186964,1952.6299999999999,2720.692,1627.429,,,,169.594,472.88800000000003,52.435,,600.637,,1.0,0.2,1.0,8.0,8322.6219997406,1.0
AS14.01,2014-03-30,0.049092970521542004,414.36500000000007,1298.505,1535.6770000000001,,,,74.003,167.685,,66.477,38.296,,,-0.5,0.75,7.5,4523.2140009403265,
AS14.01,2014-03-31,0.07050548088338955,2961.4049999999997,5332.637000000001,1758.92,41.255,51.176,,268.55400000000003,1350.655,183.381,29.29,210.305,,1.0,0.0,0.6,7.4,11836.834000349041,
AS14.01,2014-04-01,0.118443242712736,1385.517,6095.526,1030.637,547.8259999999999,234.741,92.388,121.19,5040.067000000001,1614.6209999999999,,517.636,,1.0,0.2,0.0,6.0,17173.906002044678,
AS14.01,2014-04-02,0.10191661063822348,3614.349,6920.155999999999,1343.376,247.77700000000002,,90.481,541.541,3428.792,,,341.371,,1.0,0.3333333333333333,0.6666666666666666,6.5,21358.510999917988,
AS14.01,2014-04-03,0.04923847270844107,2321.464,14438.081999999999,1293.6309999999999,76.234,,,213.90200000000002,3154.241,19.082,,182.77200000000002,,1.0,-1.2,0.0,6.4,21401.835000753403,
AS14.01,2014-04-04,0.12668931120732582,1957.8290000000002,5481.628,1545.227,,,,176.80100000000002,2086.197,158.24099999999999,,128.692,,1.0,0.2,0.4,6.2,12379.411000013357,1.0
AS14.01,2014-04-05,0.1190023022034455,15159.189999999999,1885.409,76.369,,,,81.133,363.20799999999997,187.94500000000002,,118.956,,,-0.4,0.6,6.8,3340.4309999942784,
AS14.01,2014-04-06,0.06440779944246813,4548.662,3355.743,187.214,,114.406,,119.12,321.46,,,46.249,,1.0,-0.75,0.5,6.5,7467.321999788283,
